Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit
102,10/4/2021,13:19:25,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
103,10/4/2021,13:19:26,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
104,10/4/2021,13:19:27,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
105,10/4/2021,13:19:28,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
106,10/4/2021,13:19:29,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
107,10/4/2021,13:19:30,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
108,10/4/2021,13:19:31,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
109,10/4/2021,13:19:32,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
110,10/4/2021,13:19:33,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
111,10/4/2021,13:19:34,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
112,10/4/2021,13:19:35,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
113,10/4/2021,13:19:36,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
114,10/4/2021,13:19:37,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
115,10/4/2021,13:19:38,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
116,10/4/2021,13:19:39,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
117,10/4/2021,13:19:40,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
118,10/4/2021,13:19:41,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
119,10/4/2021,13:19:42,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
120,10/4/2021,13:19:43,28.3,T1 KTemp C,28,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
121,10/4/2021,13:19:44,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
122,10/4/2021,13:19:45,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
123,10/4/2021,13:19:46,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
124,10/4/2021,13:19:47,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
125,10/4/2021,13:19:48,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
126,10/4/2021,13:19:49,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
127,10/4/2021,13:19:50,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
128,10/4/2021,13:19:51,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
